Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",172.250000,-93.500000,0.000000,top
"C2","10u/1206","C_1206_3216Metric",169.900000,-125.300000,0.000000,top
"C3","10u/1206","C_1206_3216Metric",169.900000,-127.730000,0.000000,top
"C4","22n","C_0603_1608Metric",163.150000,-122.800000,90.000000,top
"C5","22u","C_0805_2012Metric",155.400000,-127.050000,-90.000000,top
"C6","22u","C_0805_2012Metric",153.150000,-127.050000,-90.000000,top
"C7","100p","C_0603_1608Metric",161.530000,-129.800000,90.000000,top
"C8","1u","C_0805_2012Metric",139.000000,-130.250000,-90.000000,top
"C9","100n","C_0603_1608Metric",135.775000,-95.000000,90.000000,top
"C10","1u","C_0805_2012Metric",150.600000,-126.950000,-90.000000,top
"C11","1u","C_0805_2012Metric",144.250000,-128.100000,180.000000,top
"C12","22u","C_0805_2012Metric",136.750000,-92.250000,180.000000,top
"C13","1u","C_0805_2012Metric",128.000000,-105.250000,180.000000,top
"D1","B340A","D_SMA",160.150000,-124.550000,-90.000000,top
"IC1","ESP32-C3-WROOM-02-N4","ESP32C3WROOM02N4",151.060000,-98.300000,0.000000,top
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",159.550000,-110.500000,-90.000000,top
"J2","Ch4_IO16","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",150.500000,-140.000000,0.000000,top
"J3","Ch1_IO19","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",180.000000,-98.000000,90.000000,top
"J4","Ch2_IO18","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",180.000000,-114.500000,90.000000,top
"J5","Ch3_IO17","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",180.000000,-131.000000,90.000000,top
"J7","Ch5_IO13","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",134.000000,-140.000000,0.000000,top
"J8","Ch6_IO27","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",117.500000,-140.000000,0.000000,top
"J9","Ch7_IO26","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",119.500000,-121.000000,-90.000000,top
"J10","Ch8_IO25","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",119.500000,-104.500000,-90.000000,top
"J11","Ch9_IO32","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",119.500000,-88.000000,-90.000000,top
"J14","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",167.000000,-140.000000,0.000000,top
"L1","10u/C2921170","L_Chilisin_BMRA00040420",155.150000,-122.550000,180.000000,top
"PS1","AP5100WG-7","SOT95P285X140-6N",164.400000,-126.300000,0.000000,top
"R2","10k","R_0603_1608Metric",166.400000,-129.800000,-90.000000,top
"R3","2k","R_0603_1608Metric",164.780000,-129.800000,90.000000,top
"R4","10k","R_0603_1608Metric",159.900000,-129.800000,90.000000,top
"R5","2k","R_0603_1608Metric",163.150000,-129.800000,-90.000000,top
"R6","330R","R_0603_1608Metric",172.100000,-95.800000,0.000000,top
"R7","330R","R_0603_1608Metric",172.100000,-98.300000,0.000000,top
"R8","330R","R_0603_1608Metric",172.100000,-100.800000,0.000000,top
"R9","330R","R_0603_1608Metric",136.700000,-130.175000,-90.000000,top
"R10","330R","R_0603_1608Metric",134.200000,-130.175000,-90.000000,top
"R11","330R","R_0603_1608Metric",131.700000,-130.175000,-90.000000,top
"R12","330R","R_0603_1608Metric",127.955000,-103.005000,180.000000,top
"R13","10k","R_0603_1608Metric",144.400000,-107.800000,90.000000,top
"R14","10k","R_0603_1608Metric",146.400000,-107.800000,90.000000,top
"R15","330R","R_0603_1608Metric",127.955000,-100.505000,180.000000,top
"R16","330R","R_0603_1608Metric",127.955000,-98.100000,180.000000,top
"R17","10k","R_0603_1608Metric",142.800000,-107.800000,90.000000,top
"R18","10k","R_0603_1608Metric",137.750000,-95.000000,-90.000000,top
"SW1","SW_SPST","SW_PUSH_6mm_H5mm",127.100000,-95.600000,90.000000,top
"U2","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",166.500000,-97.000000,0.000000,top
"U3","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",135.500000,-124.500000,-90.000000,top
"U4","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",133.700000,-101.800000,180.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",145.500000,-122.350000,90.000000,top
