Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C8",0805,5,1u,C28323
C14,0603,1,100n,C14663
"C15, C5, C6",0805,3,22u,C45783
"C2, C3",1206,2,10u/1206,C13585
C4,0603,1,22n,C21122
C7,0603,1,100p,C1790
D1,D_SMA,1,B340A,C3018525
D2,0805,1,LED,C34499
"H1, H2",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole_Pad,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J10, J11, J2, J3, J4, J5, J7, J8, J9","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",9,Conn_01x03,C8401
J14,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,Conn_01x04,C192769
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
L1,L_Chilisin_BMRA00040420,1,10u/C2921170,C2921170
PS1,SOT95P285X140-6N,1,AP5100WG-7,C114647
"R1, R2, R20, R4",0603,4,10k,C25804
"R19, R3, R5",0603,3,2k,C22975
SW1,SW_PUSH_6mm_H5mm,1,SW_SPST,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U2, U3, U4",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC14,C5967
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
