Designator,Mid X,Mid Y,Rotation,Layer
C1,172.25,-93.5,0.0,top
C10,150.6,-126.95,270.0,top
C11,144.25,-128.1,180.0,top
C13,128.5,-107.75,0.0,top
C14,139.0,-89.0,270.0,top
C15,138.0,-86.25,180.0,top
C2,169.9,-125.3,0.0,top
C3,169.9,-127.73,0.0,top
C4,163.15,-122.8,90.0,top
C5,155.4,-127.05,270.0,top
C6,153.15,-127.05,270.0,top
C7,161.53,-129.8,90.0,top
C8,139.0,-130.25,270.0,top
D1,160.15,-124.55,270.0,top
D2,136.0,-92.25,270.0,top
J1,157.025,-111.775,270.0,top
J10,119.805,-109.5,270.0,top
J11,119.805,-93.0,270.0,top
J14,174.5,-139.695,0.0,top
J2,155.5,-139.695,0.0,top
J3,179.695,-93.0,90.0,top
J4,179.695,-109.5,90.0,top
J5,179.695,-126.0,90.0,top
J7,139.0,-139.695,0.0,top
J8,122.5,-139.695,0.0,top
J9,119.805,-126.0,270.0,top
L1,155.15,-122.55,180.0,top
PS1,164.4,-126.3,0.0,top
R1,137.25,-89.0,270.0,top
R19,138.0,-92.5,270.0,top
R2,166.4,-129.8,270.0,top
R20,152.0,-105.25,180.0,top
R3,164.78,-129.8,90.0,top
R4,159.9,-129.8,90.0,top
R5,163.15,-129.8,270.0,top
SW1,129.35,-92.35,90.0,top
U1,149.75,-93.75,0.0,top
U2,166.5,-97.0,270.0,top
U3,135.5,-124.5,180.0,top
U4,130.0,-101.75,90.0,top
U6,145.5,-122.35,270.0,top
